Tipo de sustancia;Estado de sustancia;Forma;Undidad de temp;A;B;C;D;Rango Unidades;
Acetileno;g;1;¡C;;;;;0;1200
Acetona;l;1;¡C;;;;;-30;60
;g;1;¡C;;;;;0;1200
Acido nitrico;l;1;¡C;;;;;25;
Acido sulfurico;l;1;¡C;;;;;;
Agua;l;1;¡C;;;;;;
;g;1;¡C;;;;;;
Aire;g;1;¡C;;;;;;
;g;1;K;;;;;;
Alcohol etilico;l;1;¡C;;;;;;
;l;1;¡C;;;;;;
;g;1;¡C;;;;;;
Alcohol metilico;l;1;¡C;;;;;;
;g;1;¡C;;;;;;
Amoniaco;g;1;¡C;;;;;;
Azufre Rombico;c;1;K;;;;;;
Azufre Rombico;c;1;K;;;;;;
Benceno;l;1;;;;;;;
;g;1;;;;;;;
Bromuro de hidr—geno;g;1;;;;;;;
n-Butano;g;1;;;;;;;
Carbonato de calcio;c;2;;;;;;;
Carbonato de sodio;c;1;;;;;;;
Carbonato de sodio decahidratado;c;1;;;;;;;
Carbono;c;2;;;;;;;
Carburo de calcio;c;2;;;;;;;
Cianuro de hidr—geno;g;1;;;;;;;
Ciclohexano;g;1;;;;;;;
Ciclopentano;g;1;;;;;;;
Cloro;g;1;;;;;;;
Cloruro de hidr—geno;g;1;;;;;;;
Cloruro de magnesio;c;1;;;;;;;
Cobre;c;1;;;;;;;
Cumeno (isopropilbenceno);;1;;;;;;;
Dioxido de azufre;;1;;;;;;;
Dioxido de carbono;;1;;;;;;;
Dioxido de nitrogeno;;1;;;;;;;
Etano;;1;;;;;;;
Etileno;;1;;;;;;;
Formaldehido;;1;;;;;;;
Helio;;1;;;;;;;
n-Hexano;;1;;;;;;;
Hidrogeno;;1;;;;;;;
Hidroxido de calcio;;1;;;;;;;
Isobutano;;1;;;;;;;
Isbuteno;;1;;;;;;;
Metano;;1;;;;;;;
;;1;;;;;;;
Metilciclohexano;;1;;;;;;;
Metilciclopentano;;1;;;;;;;
Mon—xido de carbono;;1;;;;;;;
Nitrogeno;;1;;;;;;;
Oxido de calcio;;2;;;;;;;
Oxido de magnesio;;2;;;;;;;
Oxido ferrico;;2;;;;;;;
Oxido nitrico;;1;;;;;;;
Oxido nitroso;;1;;;;;;;
Oxigeno;;1;;;;;;;
n-Pentano;;1;;;;;;;
;;1;;;;;;;
propano;;1;;;;;;;
Propileno;;1;;;;;;;
Tetracloruro de carbono;;1;;;;;;;
Tetroxido de nitrogeno;;1;;;;;;;
Tolueno;;1;;;;;;;
;;1;;;;;;;
Trioxido de azufre;;1;;;;;;;
Sulfato de amonio;;1;;;;;;;
Sulfuro de hidrogeno;;1;;;;;;;
